ID;TaskID;TaskDescription;TaskAssignDuration;TaskCostPerHour;TaskCategory;ExecutionFinishDate;ExecutionDelay (hours);ExecutionBriefDescription;FreelancerID;FreelancerName;FreelancerExpertise;FreelancerEMail;FreelancerNIF;FreelancerBanckAccout;FreelancerAddress;FreeLancerCountry
611;512;Mobile Application Development;54;49;Network Administration;16/04/2020;-2;Medium Quality Work, not an expert in Web development;MS3;Marion Antoine;Senior;jw@gmail.com;223654587;LU120010001234567891;Street 92, 90, New York;USA
612;513;Mobile Application Development;24;38;Network Administration;08/01/2020;5;Medium Quality Work, not an expert in Web development;MS3;John Wayne;Senior;ms10@isep.ipp.pt;921654987;US120010001234567891;Boulevard Royal, 100;Luxembourg
613;514;Mobile Application Development;77;56;Software Development;05/03/2020;-1;Medium Quality Work, not an expert in Web development;JW1;Maria Sousa;Senior;Marion190@hotmail.com;921654987;US120010001234567891;Boulevard Royal, 100;Portugal
614;515;Mobile Application Development;87;47;Software Development;31/01/2020;8;Medium Quality Work, not an expert in Web development;MS3;Maria Sousa;Senior;jw@gmail.com;213456789;PT120010001234567891;Street 92, 90, New York;USA
615;516;Mobile Application Development;60;29;Software Development;21/01/2020;9;Non-expert, problem unsolved;MS3;Marion Antoine;Senior;jw@gmail.com;223654587;LU120010001234567891;Boulevard Royal, 100;Portugal
616;517;Mobile Application Development;81;11;Software Development;19/04/2020;-6;High Quality Work;JW1;Maria Sousa;Junior;jw@gmail.com;213456789;US120010001234567891;Street 92, 90, New York;Portugal
617;518;Mobile Application Development;97;22;Software Development;22/02/2020;-2;Medium Quality Work, not an expert in Web development;MA1;Maria Sousa;Junior;jw@gmail.com;213456789;PT120010001234567891;Street 92, 90, New York;Luxembourg
618;519;Mobile Application Development;28;49;Network Administration;14/03/2020;-2;Medium Quality Work, not an expert in Web development;JW1;John Wayne;Junior;Marion190@hotmail.com;223654587;US120010001234567891;Boulevard Royal, 100;USA
619;520;Mobile Application Development;69;26;Software Development;18/01/2020;-7;Medium Quality Work, not an expert in Web development;JW1;Maria Sousa;Junior;ms10@isep.ipp.pt;921654987;US120010001234567891;Street 92, 90, New York;USA
620;521;Mobile Application Development;36;50;Network Administration;07/01/2020;-9;Medium Quality Work, not an expert in Web development;JW1;Maria Sousa;Senior;ms10@isep.ipp.pt;921654987;US120010001234567891;Street 92, 90, New York;Portugal
621;522;Mobile Application Development;69;31;Software Development;09/03/2020;-2;Medium Quality Work, not an expert in Web development;MA1;Maria Sousa;Senior;jw@gmail.com;213456789;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
622;523;Mobile Application Development;73;50;Network Administration;21/02/2020;-5;Non-expert, problem unsolved;MS3;Maria Sousa;Senior;ms10@isep.ipp.pt;213456789;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
623;524;Mobile Application Development;62;54;Network Administration;06/05/2020;4;High Quality Work;MA1;John Wayne;Senior;Marion190@hotmail.com;921654987;LU120010001234567891;Street 92, 90, New York;Portugal
624;525;Mobile Application Development;56;30;Software Development;15/03/2020;-9;High Quality Work;JW1;John Wayne;Senior;ms10@isep.ipp.pt;213456789;US120010001234567891;Boulevard Royal, 100;Portugal
625;526;Mobile Application Development;57;52;Network Administration;10/05/2020;4;Medium Quality Work, not an expert in Web development;JW1;Maria Sousa;Senior;jw@gmail.com;213456789;PT120010001234567891;Street 92, 90, New York;Luxembourg
626;527;Mobile Application Development;99;42;Software Development;10/04/2020;-2;Medium Quality Work, not an expert in Web development;MS3;Marion Antoine;Junior;Marion190@hotmail.com;223654587;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
627;528;Mobile Application Development;47;52;Software Development;26/02/2020;9;Medium Quality Work, not an expert in Web development;JW1;Marion Antoine;Senior;ms10@isep.ipp.pt;213456789;US120010001234567891;Boulevard Royal, 100;Portugal
628;529;Mobile Application Development;55;22;Software Development;16/05/2020;10;Non-expert, problem unsolved;JW1;John Wayne;Senior;jw@gmail.com;213456789;LU120010001234567891;Street 92, 90, New York;Luxembourg
629;530;Mobile Application Development;63;20;Network Administration;01/01/2020;3;Non-expert, problem unsolved;MS3;Marion Antoine;Junior;ms10@isep.ipp.pt;213456789;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
630;531;Mobile Application Development;43;36;Network Administration;11/04/2020;-4;Non-expert, problem unsolved;JW1;John Wayne;Senior;Marion190@hotmail.com;921654987;LU120010001234567891;Boulevard Royal, 100;Portugal
631;532;Mobile Application Development;97;52;Network Administration;16/05/2020;3;Non-expert, problem unsolved;MA1;Marion Antoine;Senior;Marion190@hotmail.com;223654587;US120010001234567891;Street 92, 90, New York;Portugal
632;533;Mobile Application Development;27;39;Software Development;05/03/2020;-6;Medium Quality Work, not an expert in Web development;MS3;John Wayne;Senior;Marion190@hotmail.com;223654587;PT120010001234567891;Street 92, 90, New York;Luxembourg
633;534;Mobile Application Development;53;16;Software Development;01/04/2020;3;Medium Quality Work, not an expert in Web development;MA1;Marion Antoine;Senior;Marion190@hotmail.com;921654987;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
634;535;Mobile Application Development;76;51;Software Development;29/04/2020;2;Medium Quality Work, not an expert in Web development;MA1;John Wayne;Junior;ms10@isep.ipp.pt;213456789;LU120010001234567891;Street 92, 90, New York;Luxembourg
635;536;Mobile Application Development;70;47;Software Development;22/02/2020;9;Non-expert, problem unsolved;MA1;Marion Antoine;Senior;Marion190@hotmail.com;223654587;PT120010001234567891;Boulevard Royal, 100;USA
636;537;Mobile Application Development;84;37;Network Administration;07/05/2020;2;Non-expert, problem unsolved;MA1;Maria Sousa;Senior;jw@gmail.com;213456789;US120010001234567891;Street 92, 90, New York;Portugal
637;538;Mobile Application Development;78;39;Network Administration;19/04/2020;-8;Non-expert, problem unsolved;MS3;John Wayne;Junior;jw@gmail.com;921654987;PT120010001234567891;Boulevard Royal, 100;USA
638;539;Mobile Application Development;39;35;Software Development;18/02/2020;-4;Medium Quality Work, not an expert in Web development;JW1;Marion Antoine;Senior;ms10@isep.ipp.pt;223654587;LU120010001234567891;Street 92, 90, New York;Luxembourg
639;540;Mobile Application Development;82;52;Network Administration;13/05/2020;9;Medium Quality Work, not an expert in Web development;MS3;Maria Sousa;Junior;Marion190@hotmail.com;223654587;PT120010001234567891;Boulevard Royal, 100;Luxembourg
640;541;Mobile Application Development;55;55;Software Development;13/04/2020;-1;High Quality Work;JW1;Marion Antoine;Senior;ms10@isep.ipp.pt;223654587;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
641;542;Mobile Application Development;27;16;Software Development;03/05/2020;4;Non-expert, problem unsolved;MA1;John Wayne;Senior;Marion190@hotmail.com;223654587;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
642;543;Mobile Application Development;76;46;Network Administration;13/05/2020;-4;High Quality Work;MA1;Marion Antoine;Junior;ms10@isep.ipp.pt;213456789;LU120010001234567891;Boulevard Royal, 100;Luxembourg
643;544;Mobile Application Development;95;32;Software Development;02/01/2020;6;Medium Quality Work, not an expert in Web development;MS3;Marion Antoine;Senior;Marion190@hotmail.com;921654987;US120010001234567891;Street 92, 90, New York;Luxembourg
644;545;Mobile Application Development;48;59;Software Development;10/04/2020;-2;Medium Quality Work, not an expert in Web development;JW1;Maria Sousa;Junior;Marion190@hotmail.com;223654587;US120010001234567891;Boulevard Royal, 100;Portugal
645;546;Mobile Application Development;29;14;Software Development;09/01/2020;-8;Non-expert, problem unsolved;JW1;Maria Sousa;Junior;Marion190@hotmail.com;223654587;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
646;547;Mobile Application Development;63;47;Network Administration;06/02/2020;-3;Medium Quality Work, not an expert in Web development;MA1;Marion Antoine;Senior;ms10@isep.ipp.pt;213456789;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
647;548;Mobile Application Development;90;32;Software Development;11/03/2020;-3;Medium Quality Work, not an expert in Web development;JW1;Marion Antoine;Senior;ms10@isep.ipp.pt;213456789;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
648;549;Mobile Application Development;76;41;Software Development;06/02/2020;-6;Non-expert, problem unsolved;MS3;Marion Antoine;Junior;jw@gmail.com;213456789;LU120010001234567891;Street 92, 90, New York;Luxembourg
649;550;Mobile Application Development;23;59;Software Development;04/02/2020;0;Non-expert, problem unsolved;MA1;John Wayne;Senior;jw@gmail.com;921654987;US120010001234567891;Boulevard Royal, 100;Portugal
650;551;Mobile Application Development;41;27;Software Development;01/04/2020;5;Non-expert, problem unsolved;MS3;Maria Sousa;Junior;ms10@isep.ipp.pt;921654987;US120010001234567891;Street 92, 90, New York;USA
651;552;Mobile Application Development;21;43;Network Administration;22/03/2020;6;Non-expert, problem unsolved;MA1;Marion Antoine;Senior;ms10@isep.ipp.pt;223654587;US120010001234567891;Street 92, 90, New York;Luxembourg
652;553;Mobile Application Development;26;15;Software Development;26/04/2020;8;Non-expert, problem unsolved;MA1;Maria Sousa;Senior;ms10@isep.ipp.pt;213456789;LU120010001234567891;Street 92, 90, New York;USA
653;554;Mobile Application Development;31;29;Software Development;08/05/2020;-7;High Quality Work;MA1;Maria Sousa;Senior;ms10@isep.ipp.pt;921654987;LU120010001234567891;Boulevard Royal, 100;Portugal
654;555;Mobile Application Development;69;15;Network Administration;22/04/2020;-7;Medium Quality Work, not an expert in Web development;JW1;John Wayne;Junior;Marion190@hotmail.com;223654587;PT120010001234567891;Street 92, 90, New York;Portugal
655;556;Mobile Application Development;55;52;Software Development;17/02/2020;-8;Non-expert, problem unsolved;MA1;John Wayne;Senior;ms10@isep.ipp.pt;921654987;LU120010001234567891;Boulevard Royal, 100;Luxembourg
656;557;Mobile Application Development;49;56;Software Development;16/01/2020;-3;Non-expert, problem unsolved;JW1;John Wayne;Senior;Marion190@hotmail.com;223654587;LU120010001234567891;Street 92, 90, New York;Portugal
657;558;Mobile Application Development;41;40;Software Development;18/05/2020;-3;Non-expert, problem unsolved;JW1;Marion Antoine;Junior;ms10@isep.ipp.pt;921654987;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
658;559;Mobile Application Development;53;22;Software Development;01/03/2020;-7;Non-expert, problem unsolved;MS3;Marion Antoine;Senior;ms10@isep.ipp.pt;223654587;US120010001234567891;Boulevard Royal, 100;USA
659;560;Mobile Application Development;69;47;Network Administration;21/03/2020;9;Non-expert, problem unsolved;MA1;John Wayne;Senior;jw@gmail.com;921654987;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
660;561;Mobile Application Development;99;56;Software Development;05/02/2020;-10;High Quality Work;MS3;Marion Antoine;Senior;Marion190@hotmail.com;223654587;PT120010001234567891;Boulevard Royal, 100;USA
661;562;Mobile Application Development;65;50;Software Development;20/01/2020;1;High Quality Work;MS3;John Wayne;Senior;ms10@isep.ipp.pt;213456789;PT120010001234567891;Street 92, 90, New York;Luxembourg
662;563;Mobile Application Development;98;39;Network Administration;11/02/2020;8;Non-expert, problem unsolved;JW1;Marion Antoine;Junior;jw@gmail.com;921654987;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
663;564;Mobile Application Development;33;60;Software Development;26/03/2020;-4;Medium Quality Work, not an expert in Web development;MA1;John Wayne;Senior;Marion190@hotmail.com;223654587;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
664;565;Mobile Application Development;70;26;Software Development;09/05/2020;-2;High Quality Work;MS3;Marion Antoine;Junior;Marion190@hotmail.com;921654987;PT120010001234567891;Street 92, 90, New York;Portugal
665;566;Mobile Application Development;71;24;Network Administration;12/02/2020;-6;Medium Quality Work, not an expert in Web development;MA1;Marion Antoine;Senior;ms10@isep.ipp.pt;213456789;PT120010001234567891;Street 92, 90, New York;Portugal
666;567;Mobile Application Development;80;58;Software Development;20/03/2020;0;High Quality Work;MS3;Marion Antoine;Junior;ms10@isep.ipp.pt;213456789;US120010001234567891;Boulevard Royal, 100;Portugal
667;568;Mobile Application Development;69;51;Network Administration;22/05/2020;6;Medium Quality Work, not an expert in Web development;MA1;Maria Sousa;Senior;ms10@isep.ipp.pt;213456789;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
668;569;Mobile Application Development;47;41;Network Administration;17/02/2020;-2;Medium Quality Work, not an expert in Web development;JW1;Marion Antoine;Senior;ms10@isep.ipp.pt;921654987;US120010001234567891;Boulevard Royal, 100;Luxembourg
669;570;Mobile Application Development;70;46;Network Administration;04/04/2020;-2;Medium Quality Work, not an expert in Web development;MS3;John Wayne;Junior;jw@gmail.com;213456789;LU120010001234567891;Boulevard Royal, 100;USA
670;571;Mobile Application Development;73;60;Software Development;22/04/2020;0;Non-expert, problem unsolved;JW1;Marion Antoine;Senior;jw@gmail.com;921654987;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
671;572;Mobile Application Development;56;17;Network Administration;23/01/2020;3;Non-expert, problem unsolved;MA1;Maria Sousa;Junior;Marion190@hotmail.com;223654587;US120010001234567891;Boulevard Royal, 100;Luxembourg
672;573;Mobile Application Development;77;25;Software Development;22/01/2020;-8;High Quality Work;MS3;Marion Antoine;Junior;jw@gmail.com;213456789;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
673;574;Mobile Application Development;48;39;Software Development;04/01/2020;-5;High Quality Work;MA1;John Wayne;Junior;jw@gmail.com;213456789;LU120010001234567891;Boulevard Royal, 100;USA
674;575;Mobile Application Development;24;38;Software Development;18/03/2020;0;Medium Quality Work, not an expert in Web development;JW1;John Wayne;Junior;Marion190@hotmail.com;213456789;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
675;576;Mobile Application Development;96;37;Network Administration;11/05/2020;-7;Medium Quality Work, not an expert in Web development;MS3;Marion Antoine;Junior;ms10@isep.ipp.pt;213456789;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
676;577;Mobile Application Development;25;29;Software Development;20/04/2020;0;Non-expert, problem unsolved;MA1;Maria Sousa;Junior;ms10@isep.ipp.pt;213456789;US120010001234567891;Boulevard Royal, 100;Portugal
677;578;Mobile Application Development;90;10;Network Administration;11/04/2020;6;High Quality Work;MS3;John Wayne;Senior;ms10@isep.ipp.pt;223654587;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
678;579;Mobile Application Development;61;59;Software Development;17/04/2020;-8;Non-expert, problem unsolved;JW1;John Wayne;Senior;jw@gmail.com;213456789;PT120010001234567891;Street 92, 90, New York;Luxembourg
679;580;Mobile Application Development;67;23;Software Development;20/03/2020;-4;Medium Quality Work, not an expert in Web development;MS3;John Wayne;Senior;Marion190@hotmail.com;921654987;PT120010001234567891;Boulevard Royal, 100;Portugal
680;581;Mobile Application Development;97;56;Network Administration;21/03/2020;-10;High Quality Work;JW1;Marion Antoine;Senior;jw@gmail.com;921654987;PT120010001234567891;Street 92, 90, New York;Portugal
681;582;Mobile Application Development;46;24;Software Development;15/02/2020;1;Medium Quality Work, not an expert in Web development;MS3;Marion Antoine;Junior;Marion190@hotmail.com;223654587;LU120010001234567891;Boulevard Royal, 100;USA
682;583;Mobile Application Development;23;34;Software Development;21/05/2020;10;Non-expert, problem unsolved;JW1;Maria Sousa;Senior;ms10@isep.ipp.pt;223654587;US120010001234567891;Boulevard Royal, 100;Portugal
683;584;Mobile Application Development;37;15;Network Administration;21/02/2020;-5;Non-expert, problem unsolved;MS3;Marion Antoine;Senior;Marion190@hotmail.com;223654587;US120010001234567891;Boulevard Royal, 100;Portugal
684;585;Mobile Application Development;50;14;Network Administration;23/03/2020;9;Non-expert, problem unsolved;MS3;Marion Antoine;Senior;ms10@isep.ipp.pt;223654587;US120010001234567891;Street 92, 90, New York;Portugal
685;586;Mobile Application Development;100;18;Software Development;20/03/2020;8;Medium Quality Work, not an expert in Web development;JW1;Marion Antoine;Senior;ms10@isep.ipp.pt;921654987;PT120010001234567891;Boulevard Royal, 100;USA
686;587;Mobile Application Development;24;28;Software Development;06/05/2020;3;Non-expert, problem unsolved;MS3;John Wayne;Senior;jw@gmail.com;223654587;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
687;588;Mobile Application Development;21;33;Software Development;25/01/2020;1;High Quality Work;MA1;Marion Antoine;Senior;ms10@isep.ipp.pt;223654587;PT120010001234567891;Boulevard Royal, 100;USA
688;589;Mobile Application Development;49;18;Software Development;21/03/2020;6;Non-expert, problem unsolved;MA1;Maria Sousa;Junior;jw@gmail.com;921654987;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
689;590;Mobile Application Development;84;28;Network Administration;21/03/2020;3;Non-expert, problem unsolved;MS3;Marion Antoine;Senior;jw@gmail.com;213456789;LU120010001234567891;Boulevard Royal, 100;Luxembourg
690;591;Mobile Application Development;35;37;Software Development;03/02/2020;10;High Quality Work;MA1;Maria Sousa;Junior;jw@gmail.com;921654987;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
691;592;Mobile Application Development;26;23;Software Development;08/05/2020;-1;Medium Quality Work, not an expert in Web development;JW1;John Wayne;Senior;jw@gmail.com;921654987;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
692;593;Mobile Application Development;71;35;Software Development;28/03/2020;1;High Quality Work;MA1;Marion Antoine;Senior;jw@gmail.com;223654587;LU120010001234567891;Boulevard Royal, 100;USA
693;594;Mobile Application Development;34;40;Software Development;17/03/2020;-1;Medium Quality Work, not an expert in Web development;MS3;John Wayne;Junior;jw@gmail.com;223654587;US120010001234567891;Street 92, 90, New York;USA
694;595;Mobile Application Development;49;32;Software Development;21/05/2020;0;Non-expert, problem unsolved;JW1;Marion Antoine;Senior;ms10@isep.ipp.pt;213456789;PT120010001234567891;Boulevard Royal, 100;USA
695;596;Mobile Application Development;36;30;Network Administration;17/05/2020;-2;Medium Quality Work, not an expert in Web development;MA1;Marion Antoine;Junior;jw@gmail.com;213456789;US120010001234567891;Boulevard Royal, 100;Luxembourg
696;597;Mobile Application Development;29;55;Software Development;03/05/2020;-10;Non-expert, problem unsolved;MS3;Maria Sousa;Junior;jw@gmail.com;213456789;US120010001234567891;Boulevard Royal, 100;Portugal
697;598;Mobile Application Development;25;60;Software Development;13/01/2020;6;High Quality Work;MA1;Maria Sousa;Senior;ms10@isep.ipp.pt;223654587;PT120010001234567891;Street 92, 90, New York;Luxembourg
698;599;Mobile Application Development;50;23;Software Development;17/05/2020;6;High Quality Work;JW1;John Wayne;Junior;ms10@isep.ipp.pt;921654987;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
699;600;Mobile Application Development;72;45;Software Development;05/05/2020;0;High Quality Work;MS3;Marion Antoine;Senior;ms10@isep.ipp.pt;223654587;LU120010001234567891;Street 92, 90, New York;Portugal
700;601;Mobile Application Development;30;46;Software Development;06/02/2020;6;High Quality Work;JW1;Marion Antoine;Senior;ms10@isep.ipp.pt;921654987;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
701;602;Mobile Application Development;50;26;Software Development;27/01/2020;-8;Medium Quality Work, not an expert in Web development;MA1;Maria Sousa;Senior;jw@gmail.com;223654587;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
702;603;Mobile Application Development;49;32;Network Administration;21/01/2020;-4;Non-expert, problem unsolved;JW1;Maria Sousa;Junior;Marion190@hotmail.com;213456789;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
703;604;Mobile Application Development;94;48;Software Development;04/03/2020;8;Medium Quality Work, not an expert in Web development;MS3;John Wayne;Senior;jw@gmail.com;223654587;US120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
704;605;Mobile Application Development;46;49;Software Development;26/01/2020;8;Medium Quality Work, not an expert in Web development;MS3;Marion Antoine;Senior;jw@gmail.com;921654987;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
705;606;Mobile Application Development;60;46;Software Development;02/04/2020;6;High Quality Work;MS3;Maria Sousa;Senior;Marion190@hotmail.com;921654987;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
706;607;Mobile Application Development;55;42;Software Development;15/05/2020;8;Non-expert, problem unsolved;MA1;John Wayne;Senior;Marion190@hotmail.com;921654987;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
707;608;Mobile Application Development;83;31;Network Administration;13/04/2020;-1;Medium Quality Work, not an expert in Web development;MS3;John Wayne;Junior;Marion190@hotmail.com;921654987;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
708;609;Mobile Application Development;85;22;Software Development;22/04/2020;-6;Non-expert, problem unsolved;MA1;Maria Sousa;Senior;jw@gmail.com;223654587;US120010001234567891;Boulevard Royal, 100;USA
709;610;Mobile Application Development;73;35;Software Development;07/02/2020;7;Non-expert, problem unsolved;MA1;Marion Antoine;Senior;jw@gmail.com;223654587;LU120010001234567891;Street 92, 90, New York;USA
710;611;Mobile Application Development;86;42;Software Development;23/01/2020;2;Non-expert, problem unsolved;MS3;Maria Sousa;Senior;Marion190@hotmail.com;921654987;LU120010001234567891;Boulevard Royal, 100;Portugal
711;612;Mobile Application Development;63;57;Software Development;13/03/2020;7;Medium Quality Work, not an expert in Web development;MA1;Marion Antoine;Senior;ms10@isep.ipp.pt;921654987;PT120010001234567891;Boulevard Royal, 100;Portugal
712;613;Mobile Application Development;68;38;Network Administration;03/04/2020;3;Medium Quality Work, not an expert in Web development;MS3;Marion Antoine;Junior;jw@gmail.com;921654987;US120010001234567891;Boulevard Royal, 100;USA
713;614;Mobile Application Development;66;49;Software Development;10/05/2020;-3;High Quality Work;JW1;Marion Antoine;Senior;Marion190@hotmail.com;223654587;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
714;615;Mobile Application Development;93;15;Software Development;22/04/2020;-10;Non-expert, problem unsolved;JW1;Maria Sousa;Junior;ms10@isep.ipp.pt;921654987;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Portugal
715;616;Mobile Application Development;22;38;Network Administration;05/03/2020;-2;High Quality Work;MA1;John Wayne;Junior;Marion190@hotmail.com;223654587;LU120010001234567891;Boulevard Royal, 100;Luxembourg
716;617;Mobile Application Development;77;12;Software Development;16/03/2020;9;High Quality Work;MA1;Maria Sousa;Senior;Marion190@hotmail.com;213456789;PT120010001234567891;Street 92, 90, New York;Portugal
717;618;Mobile Application Development;50;15;Software Development;10/04/2020;-2;Medium Quality Work, not an expert in Web development;JW1;Maria Sousa;Senior;Marion190@hotmail.com;223654587;LU120010001234567891;Boulevard Royal, 100;USA
718;619;Mobile Application Development;56;39;Software Development;12/02/2020;10;Non-expert, problem unsolved;MA1;John Wayne;Senior;jw@gmail.com;223654587;PT120010001234567891;Street 92, 90, New York;Luxembourg
719;620;Mobile Application Development;93;37;Network Administration;13/05/2020;0;Non-expert, problem unsolved;MS3;Marion Antoine;Junior;jw@gmail.com;223654587;LU120010001234567891;Boulevard Royal, 100;Luxembourg
720;621;Mobile Application Development;27;54;Software Development;01/04/2020;5;Non-expert, problem unsolved;JW1;Marion Antoine;Senior;ms10@isep.ipp.pt;213456789;US120010001234567891;Street 92, 90, New York;Luxembourg
721;622;Mobile Application Development;98;12;Software Development;02/02/2020;3;Non-expert, problem unsolved;JW1;Maria Sousa;Senior;jw@gmail.com;213456789;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;USA
722;623;Mobile Application Development;66;32;Network Administration;30/03/2020;10;Non-expert, problem unsolved;MA1;Marion Antoine;Junior;Marion190@hotmail.com;223654587;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
723;624;Mobile Application Development;82;38;Software Development;01/03/2020;-6;Non-expert, problem unsolved;MA1;John Wayne;Junior;ms10@isep.ipp.pt;213456789;PT120010001234567891;Boulevard Royal, 100;USA
724;625;Mobile Application Development;88;54;Software Development;01/01/2020;-7;Non-expert, problem unsolved;MA1;Maria Sousa;Senior;Marion190@hotmail.com;223654587;PT120010001234567891;Street 92, 90, New York;USA
725;626;Mobile Application Development;25;53;Software Development;07/01/2020;-2;Medium Quality Work, not an expert in Web development;MA1;Marion Antoine;Senior;jw@gmail.com;921654987;LU120010001234567891;Street 92, 90, New York;Portugal
726;627;Mobile Application Development;84;14;Software Development;22/02/2020;9;High Quality Work;MS3;Maria Sousa;Senior;jw@gmail.com;223654587;PT120010001234567891;Street 92, 90, New York;Portugal
727;628;Mobile Application Development;79;41;Software Development;12/01/2020;-9;Medium Quality Work, not an expert in Web development;JW1;Marion Antoine;Senior;ms10@isep.ipp.pt;921654987;US120010001234567891;Street 92, 90, New York;Luxembourg
728;629;Mobile Application Development;97;12;Software Development;27/02/2020;9;High Quality Work;MS3;Maria Sousa;Senior;ms10@isep.ipp.pt;213456789;US120010001234567891;Street 92, 90, New York;USA
729;630;Mobile Application Development;77;57;Network Administration;02/05/2020;10;Non-expert, problem unsolved;MA1;John Wayne;Junior;Marion190@hotmail.com;921654987;US120010001234567891;Boulevard Royal, 100;USA
730;631;Mobile Application Development;38;50;Software Development;03/01/2020;6;Medium Quality Work, not an expert in Web development;MA1;John Wayne;Senior;Marion190@hotmail.com;213456789;LU120010001234567891;Street 92, 90, New York;Luxembourg
731;632;Mobile Application Development;93;53;Network Administration;05/01/2020;-5;Non-expert, problem unsolved;MS3;Marion Antoine;Junior;Marion190@hotmail.com;921654987;US120010001234567891;Boulevard Royal, 100;USA
732;633;Mobile Application Development;29;11;Network Administration;23/02/2020;9;High Quality Work;JW1;Maria Sousa;Senior;ms10@isep.ipp.pt;223654587;PT120010001234567891;Boulevard Royal, 100;Luxembourg
733;634;Mobile Application Development;23;39;Software Development;15/02/2020;-7;Medium Quality Work, not an expert in Web development;MA1;John Wayne;Senior;ms10@isep.ipp.pt;213456789;US120010001234567891;Street 92, 90, New York;USA
734;635;Mobile Application Development;44;43;Software Development;04/04/2020;9;High Quality Work;JW1;Marion Antoine;Senior;jw@gmail.com;921654987;LU120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
735;636;Mobile Application Development;35;45;Software Development;11/02/2020;-4;Medium Quality Work, not an expert in Web development;JW1;Marion Antoine;Junior;ms10@isep.ipp.pt;213456789;LU120010001234567891;Street 92, 90, New York;USA
736;637;Mobile Application Development;85;38;Network Administration;18/04/2020;6;Medium Quality Work, not an expert in Web development;MA1;Marion Antoine;Junior;Marion190@hotmail.com;213456789;PT120010001234567891;Rua SÃƒÂ£o TomÃƒÂ©, 54, Porto;Luxembourg
737;638;Mobile Application Development;34;15;Software Development;06/01/2020;0;Non-expert, problem unsolved;JW1;John Wayne;Junior;ms10@isep.ipp.pt;921654987;PT120010001234567891;Street 92, 90, New York;USA
738;639;Mobile Application Development;63;36;Software Development;19/01/2020;-5;High Quality Work;MS3;Marion Antoine;Junior;jw@gmail.com;213456789;LU120010001234567891;Boulevard Royal, 100;USA
